,symbol,s_prdt_ali,token,instname,ls,ti,daybuyqty,daysellqty,quantity,urmtom,rpnl
17,CRUDEOIL17OCT23P7100,NRML,258972,OPTFUT,100,0.10,100,100,0,0.0,2160.0
18,CRUDEOIL17OCT23C7200,NRML,258975,OPTFUT,100,0.10,500,500,0,0.0,6540.0
19,CRUDEOIL17OCT23P7200,NRML,258976,OPTFUT,100,0.10,600,600,0,0.0,1070.0
20,SILVERMIC30NOV23,NRML,253811,FUTCOM,1,1.00,0,0,2,-336.0,-0.0
